filename	indel	silent	synonimous	nonsynonimous
Feature:678.afa	5	0	0	1
Feature:614.afa	6	0	3	20
Feature:669.afa	12	0	6	43
Feature:39.afa	4	0	0	13
Feature:435.afa	19	0	10	112
Feature:198.afa	126	0	61	487
Feature:241.afa	5	0	1	23
Feature:256.afa	4	0	1	11
Feature:449.afa	4	0	1	11
Feature:412.afa	26	0	19	127
Feature:340.afa	0	0	0	13
Feature:146.afa	6	0	2	14
Feature:116.afa	4	0	2	16
Feature:493.afa	3	0	0	9
Feature:590.afa	41	0	15	156
Feature:17.afa	3	0	0	8
Feature:92.afa	9	0	2	39
Feature:843.afa	212	0	120	868
Feature:579.afa	7	0	3	19
Feature:573.afa	8	0	3	35
Feature:201.afa	3	0	0	17
Feature:853.afa	3	0	0	8
Feature:265.afa	95	0	52	425
Feature:218.afa	4	0	0	14
Feature:822.afa	21	0	10	88
Feature:290.afa	48	0	24	226
Feature:607.afa	4	0	2	17
Feature:374.afa	41	0	27	194
Feature:500.afa	102	0	41	392
Feature:776.afa	32	0	18	125
Feature:250.afa	150	0	95	521
Feature:687.afa	42	0	22	172
Feature:439.afa	4	0	1	17
Feature:515.afa	187	0	104	769
Feature:786.afa	4	0	1	21
Feature:166.afa	7	0	1	15
Feature:16.afa	6	0	1	29
Feature:246.afa	4	0	1	20
Feature:110.afa	4	0	1	11
Feature:696.afa	113	0	73	449
Feature:172.afa	3	0	1	5
Feature:53.afa	4	0	4	32
Feature:636.afa	153	0	71	606
Feature:656.afa	2	0	0	3
Feature:444.afa	5	0	2	9
Feature:329.afa	5	0	2	10
Feature:388.afa	5	0	2	27
Feature:304.afa	109	0	61	476
Feature:268.afa	41	0	20	159
Feature:273.afa	25	0	6	318
Feature:543.afa	10	0	3	41
Feature:481.afa	8	0	0	10
Feature:49.afa	5	0	7	34
Feature:591.afa	3	0	2	10
Feature:780.afa	5	0	4	19
Feature:91.afa	9	0	2	39
Feature:793.afa	3	0	0	7
Feature:701.afa	4	0	4	13
Feature:145.afa	6	0	2	14
Feature:343.afa	11	0	7	36
Feature:491.afa	8	0	4	32
Feature:511.afa	7	0	2	21
Feature:346.afa	128	0	86	550
Feature:501.afa	3	0	2	7
Feature:1.afa	15	0	9	75
Feature:473.afa	4	0	1	11
Feature:380.afa	0	0	0	20
Feature:615.afa	6	0	1	15
Feature:40.afa	4	0	0	13
Feature:420.afa	10	0	3	48
Feature:134.afa	11	0	5	34
Feature:186.afa	4	0	1	7
Feature:622.afa	103	0	72	392
Feature:393.afa	6	0	1	22
Feature:283.afa	0	0	0	133
Feature:390.afa	4	0	4	5
Feature:875.afa	5	0	1	23
Feature:216.afa	4	0	0	15
Feature:516.afa	187	0	104	769
Feature:562.afa	9	0	3	28
Feature:272.afa	13	0	7	40
Feature:257.afa	0	0	0	68
Feature:613.afa	6	0	3	20
Feature:747.afa	7	0	4	17
Feature:845.afa	0	0	0	61
Feature:746.afa	4	0	1	6
Feature:583.afa	5	0	3	13
Feature:99.afa	6	0	1	32
Feature:261.afa	31	0	11	132
Feature:754.afa	9	0	3	36
